timestamp,open_price,close_price,high_price,low_price,volume
2023-11-02 00:00:00+00:00,212.97,218.51,219.2,211.45,125987621
2023-11-03 00:00:00+00:00,221.15,219.96,226.3701,218.4,119534790
2023-11-06 00:00:00+00:00,223.98,219.27,226.32,215.0,117335820
2023-11-07 00:00:00+00:00,219.98,222.18,223.12,215.72,116900130
2023-11-08 00:00:00+00:00,223.15,222.11,224.15,217.64,106584841
2023-11-09 00:00:00+00:00,222.11,209.98,222.11,206.68,142110454
2023-11-10 00:00:00+00:00,210.03,214.65,215.38,205.69,131310128
2023-11-13 00:00:00+00:00,215.6,223.71,225.4,211.6101,140447569
2023-11-14 00:00:00+00:00,235.03,237.41,238.135,230.72,149771642
2023-11-15 00:00:00+00:00,239.29,242.84,246.7,236.45,150353975
2023-11-16 00:00:00+00:00,239.49,233.59,240.88,230.96,136816819
2023-11-17 00:00:00+00:00,232.0,234.3,237.39,226.54,142766234
2023-11-20 00:00:00+00:00,234.04,235.6,237.1,231.02,116562402
2023-11-21 00:00:00+00:00,235.04,241.2,243.62,233.34,122288000
2023-11-22 00:00:00+00:00,242.04,234.21,244.01,231.4,118117078
2023-11-24 00:00:00+00:00,233.75,235.45,238.75,232.33,65125203
2023-11-27 00:00:00+00:00,236.89,236.08,238.33,232.1,112031763
2023-11-28 00:00:00+00:00,236.68,246.72,247.0,234.01,148549913
2023-11-29 00:00:00+00:00,249.21,244.14,252.75,242.76,135401335
2023-11-30 00:00:00+00:00,245.14,240.08,245.22,236.91,132353196
2023-12-01 00:00:00+00:00,233.14,238.83,240.19,231.9,121331709
2023-12-04 00:00:00+00:00,235.75,235.58,239.3733,233.2902,104099817
2023-12-05 00:00:00+00:00,233.87,238.72,246.66,233.7,137971115
2023-12-06 00:00:00+00:00,242.92,239.37,246.57,239.1709,126436179
2023-12-07 00:00:00+00:00,241.55,242.64,244.08,236.98,107142262
2023-12-08 00:00:00+00:00,240.27,243.84,245.27,239.2701,103126829
2023-12-11 00:00:00+00:00,242.74,239.74,243.441,237.45,97913888
2023-12-12 00:00:00+00:00,238.55,237.01,238.99,233.87,95328313
2023-12-13 00:00:00+00:00,234.19,239.29,240.3,228.2,146286348
2023-12-14 00:00:00+00:00,241.22,251.05,253.88,240.79,160829239
